"MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gexp","MixS_gexp","screen.time_MV_gexp","class.time_MV_gexp","ERR_MV_gexp","screen.time_RRS_gexp","class.time_RRS_gexp","ERR_RRS_gexp","screen.time_KG_gexp","class.time_KG_gexp","ERR_KG_gexp","captured#Blocks","modelsize_MarS_gexp","modelsize_MixS_gexp","modelsize_MV_gexp","modelsize_RRS_gexp","modelsize_KG_gexp","capSig_MarS_gexp","capSig_MixS_gexp","capSig_MV_gexp","capSig_RRS_gexp","capSig_KG_gexp","capNoise_MarS_gexp","capNoise_MixS_gexp","capNoise_MV_gexp","capNoise_RRS_gexp","capNoise_KG_gexp","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gsqrt","MixS_gsqrt","screen.time_MV_gsqrt","class.time_MV_gsqrt","ERR_MV_gsqrt","screen.time_RRS_gsqrt","class.time_RRS_gsqrt","ERR_RRS_gsqrt","screen.time_KG_gsqrt","class.time_KG_gsqrt","ERR_KG_gsqrt","captured#Blocks","modelsize_MarS_gsqrt","modelsize_MixS_gsqrt","modelsize_MV_gsqrt","modelsize_RRS_gsqrt","modelsize_KG_gsqrt","capSig_MarS_gsqrt","capSig_MixS_gsqrt","capSig_MV_gsqrt","capSig_RRS_gsqrt","capSig_KG_gsqrt","capNoise_MarS_gsqrt","capNoise_MixS_gsqrt","capNoise_MV_gsqrt","capNoise_RRS_gsqrt","capNoise_KG_gsqrt","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_glog","MixS_glog","screen.time_MV_glog","class.time_MV_glog","ERR_MV_glog","screen.time_RRS_glog","class.time_RRS_glog","ERR_RRS_glog","screen.time_KG_glog","class.time_KG_glog","ERR_KG_glog","captured#Blocks","modelsize_MarS_glog","modelsize_MixS_glog","modelsize_MV_glog","modelsize_RRS_glog","modelsize_KG_glog","capSig_MarS_glog","capSig_MixS_glog","capSig_MV_glog","capSig_RRS_glog","capSig_KG_glog","capNoise_MarS_glog","capNoise_MixS_glog","capNoise_MV_glog","capNoise_RRS_glog","capNoise_KG_glog","screen.time_MCSSVMLIN","class.time_MCSSVMLIN","ERR_MCSSVMLIN","screen.time_MCSSVMRBF","class.time_MCSSVMRBF","ERR_MCSSVMRBF","modelsize_MCSSVMLIN","modelsize_MCSSVMRBF","capSig_MCSSVMLIN","capSig_MCSSVMRBF","capNoise_MCSSVMLIN","capNoise_MCSSVMRBF"
0,0.160000000003492,0.0599999999976717,0,0.410000000003492,0.339999999996508,0.524,0.486,0,0.320000000006985,0.522,0.00999999999476131,0.00999999999476131,0.522,0,0.0300000000133878,0.522,0,4,2,10,10,10,2,1,2,2,2,6,6,0,0,0,0,0.0299999999988358,0.069999999992433,0,0.149999999994179,1.58000000000175,0.514,0.478,0,0.0299999999988358,0.51,0,0.329999999987194,0.51,0,0.330000000001746,0.51,0,4,2,10,10,10,2,1,2,2,2,6,6,0,0,0,0,0.0199999999895226,0.0500000000029104,0,0.139999999999418,0.660000000003492,0.516,0.514,0,0.639999999999418,0.514,0,0.330000000001746,0.514,0.0199999999895226,0.630000000004657,0.514,0,4,2,10,10,10,2,1,2,2,2,6,6,0,0,0,0.5,0,0.51,0.5,0,0.482,10,10,2,2,0,0
0.0199999999895226,0.00999999999476131,0.0499999999883585,0,0.159999999988941,0.970000000001164,0.536,0.424,0,0.0200000000040745,0.498,0,0.0299999999988358,0.498,0,0.0299999999988358,0.498,0,3,2,10,10,10,0,0,2,2,2,6,7,0,0,0,0.0199999999895226,0.00999999999476131,0.0499999999883585,0,0.149999999994179,1.58000000000175,0.532,0.424,0,0.0599999999976717,0.498,0,0.360000000000582,0.498,0.0100000000093132,0.399999999994179,0.498,0,3,2,10,10,10,0,0,2,2,2,6,7,0,0,0,0,0.0500000000029104,0.069999999992433,0,0.169999999998254,0.639999999999418,0.536,0.426,0,0.0299999999988358,0.494,0,0.0299999999988358,0.494,0,0.339999999996508,0.494,0,3,2,10,10,10,0,0,2,2,2,6,7,0,0,0,0.485000000000582,0,0.506,0.485000000000582,0.0199999999895226,0.448,10,10,2,2,0,0
0,0.0200000000040745,0.0600000000122236,0,0.360000000000582,1.25,0.496,0.482,0,0.350000000005821,0.498,0,0.0299999999988358,0.498,0,0.0299999999988358,0.498,0,5,5,10,10,10,0,0,2,2,2,4,4,0,0,0,0.0100000000093132,0.0399999999935972,0.0600000000122236,0,0.339999999996508,1.86999999999534,0.474,0.47,0,0.00999999999476131,0.504,0,0.339999999996508,0.504,0,0.0300000000133878,0.504,0,5,5,10,10,10,0,0,2,2,2,4,4,0,0,0,0,0.00999999999476131,0.0599999999976717,0.00999999999476131,0.349999999991269,1.26999999998952,0.474,0.452,0,0.329999999987194,0.504,0,0.0299999999988358,0.504,0,0.0299999999988358,0.504,0,5,5,10,10,10,0,0,2,2,2,4,4,0,0,0,0.319999999999709,0,0.472,0.319999999999709,0,0.482,10,10,2,2,0,0
0,0.0200000000040745,0.069999999992433,0,0.139999999999418,0.339999999996508,0.47,0.502,0,0.0399999999935972,0.472,0,0.330000000001746,0.472,0,0.0299999999988358,0.472,0,1,2,10,10,10,0,0,2,2,2,7,6,0,0,0,0.0100000000093132,0,0.0599999999976717,0,0.119999999995343,1.26000000000931,0.474,0.474,0,0.0300000000133878,0.46,0,0.330000000001746,0.46,0.00999999999476131,0.0199999999895226,0.46,0,1,1,10,10,10,0,0,2,2,2,7,7,0,0,0,0,0.0100000000093132,0.0500000000029104,0,0.119999999995343,0.649999999994179,0.474,0.474,0,0.0299999999988358,0.458,0,0.0299999999988358,0.458,0,0.339999999996508,0.458,0,1,1,10,10,10,0,0,2,2,2,7,7,0,0,0,0.625,0,0.452,0.625,0,0.434,10,10,2,2,0,0
0.0199999999895226,0.00999999999476131,0.0400000000081491,0,0.229999999995925,0.660000000003492,0.498,0.438,0,0.0299999999988358,0.504,0,0.320000000006985,0.504,0,0.629999999990105,0.504,0,2,4,10,10,10,1,2,2,2,2,7,5,0,0,0,0,0.0200000000040745,0.069999999992433,0,0.230000000010477,1.8700000000099,0.512,0.474,0,0.330000000001746,0.512,0,0.0399999999935972,0.512,0,0.639999999999418,0.512,0,2,4,10,10,10,1,2,2,2,2,7,5,0,0,0,0,0,0.0600000000122236,0,0.229999999995925,0.94999999999709,0.51,0.474,0,0.0399999999935972,0.51,0,0.330000000001746,0.51,0,0.320000000006985,0.51,0,2,3,10,10,10,1,2,2,2,2,7,6,0,0,0,0.165000000000873,0,0.476,0.165000000000873,0,0.474,10,10,2,2,0,0
0.0200000000040745,0.0199999999895226,0.0599999999976717,0,0.240000000005239,0.970000000001164,0.504,0.478,0,0.0299999999988358,0.532,0,0.0299999999988358,0.532,0,0.340000000011059,0.532,0,2,4,10,10,10,0,2,2,2,2,6,5,0,0,0,0,0.00999999999476131,0.0599999999976717,0,0.240000000005239,1.27999999999884,0.496,0.508,0,0.0299999999988358,0.5,0,0.0299999999988358,0.5,0.0100000000093132,0.0299999999988358,0.5,0,2,3,10,10,10,0,1,2,2,2,6,6,0,0,0,0,0.0200000000040745,0.069999999992433,0,0.25,0.649999999994179,0.482,0.508,0,0.330000000001746,0.514,0,0.330000000001746,0.514,0,0.639999999999418,0.514,0,2,3,10,10,10,0,1,2,2,2,6,6,0,0,0,0.319999999999709,0,0.484,0.319999999999709,0,0.454,10,10,2,2,0,0
0,0.0199999999895226,0.0599999999976717,0,0.220000000001164,1.58999999999651,0.514,0.51,0,0.0299999999988358,0.506,0,0.0299999999988358,0.506,0,0.329999999987194,0.506,0,4,4,10,10,10,0,1,2,2,2,5,4,0,0,0,0.0100000000093132,0.0200000000040745,0.0700000000069849,0,0.229999999995925,0.94999999999709,0.498,0.494,0,0.0299999999988358,0.522,0,0.0299999999988358,0.522,0,0.0299999999988358,0.522,0,4,4,10,10,10,0,1,2,2,2,5,4,0,0,0,0,0.0200000000040745,0.0600000000122236,0,0.229999999995925,0.339999999996508,0.502,0.498,0.0200000000040745,0.0299999999988358,0.508,0,0.330000000001746,0.508,0,0.639999999999418,0.508,0,4,4,10,10,10,0,1,2,2,2,5,4,0,0,0,0.174999999995634,0,0.5,0.174999999995634,0.0199999999895226,0.494,10,10,2,2,0,0
0.00999999999476131,0.00999999999476131,0.0500000000029104,0,0.139999999999418,1.25,0.492,0.518,0.0200000000040745,0.0299999999988358,0.516,0,0.0299999999988358,0.516,0,0.0299999999988358,0.516,0,2,2,10,10,10,0,0,2,2,2,6,6,0,0,0,0.00999999999476131,0.0199999999895226,0.0599999999976717,0,0.130000000004657,0.660000000003492,0.522,0.508,0,0.0200000000040745,0.514,0,0.0399999999935972,0.514,0.0200000000040745,0.330000000001746,0.514,0,2,1,10,10,10,0,0,2,2,2,6,7,0,0,0,0,0.0200000000040745,0.0499999999883585,0,0.120000000009895,0.950000000011642,0.514,0.502,0,0.330000000001746,0.51,0,0.0299999999988358,0.51,0.00999999999476131,0.0299999999988358,0.51,0,2,2,10,10,10,0,0,2,2,2,6,6,0,0,0,0.17500000000291,0,0.478,0.17500000000291,0.0199999999895226,0.448,10,10,2,2,0,0
0,0.00999999999476131,0.0599999999976717,0,0.219999999986612,0.970000000001164,0.472,0.474,0.0100000000093132,0.0299999999988358,0.46,0,0.349999999991269,0.46,0,0.0399999999935972,0.46,0,3,4,10,10,10,0,1,2,2,2,6,6,0,0,0,0,0.0100000000093132,0.069999999992433,0,0.230000000010477,0.660000000003492,0.47,0.478,0,0.320000000006985,0.48,0,0.330000000001746,0.48,0.0100000000093132,0.0399999999935972,0.48,0,3,4,10,10,10,0,1,2,2,2,6,6,0,0,0,0,0.0100000000093132,0.0599999999976717,0,0.220000000001164,0.340000000011059,0.478,0.478,0,0.0100000000093132,0.488,0,0.340000000011059,0.488,0.00999999999476131,0.320000000006985,0.488,0,3,4,10,10,10,0,1,2,2,2,6,6,0,0,0,0.330000000001746,0,0.48,0.330000000001746,0.0100000000093132,0.476,10,10,2,2,0,0
0,0.0399999999935972,0.0599999999976717,0,0.220000000001164,0.960000000006403,0.514,0.396,0,0.0200000000040745,0.522,0,0.330000000001746,0.522,0.0100000000093132,0.0299999999988358,0.522,0,5,4,10,10,10,0,0,2,2,2,3,5,0,0,0,0,0.0200000000040745,0.0600000000122236,0,0.259999999994761,0.660000000003492,0.514,0.42,0,0.349999999991269,0.526,0.0200000000040745,0.349999999991269,0.526,0,0.329999999987194,0.526,0,5,4,10,10,10,0,0,2,2,2,3,5,0,0,0,0,0.0200000000040745,0.0700000000069849,0,0.220000000001164,1.58000000000175,0.516,0.416,0,0.320000000006985,0.522,0,0.389999999999418,0.522,0,0.0299999999988358,0.522,0,5,4,10,10,10,0,0,2,2,2,3,5,0,0,0,0.625,0,0.522,0.625,0,0.476,10,10,2,2,0,0
