"listS","pair","EPairClass"
"{1,2}, {3,4}","2-4",0.516
"{1,2}, {3,4}","1-6, 2-8, 3-7",0.498
"{1,2}, {3,4}","3-10",0.488
"{1,2}, {3,4}","1-2",0.328
"{1,2}, {3,4}","3-4",0.308
"{1,2}, {3,4}","3-4",0.51
"{1,2}, {3,4}","1-4, 8-9",0.524
"{1,2}, {3,4}","4-9, 8-10",0.518
"{1,2}, {3,4}","1-8, 3-4",0.468
"{1,2}, {3,4}","1-3, 4-9",0.478
"{1,2}, {3,4}","1-6, 9-10",0.498
"{1,2}, {3,4}","2-8, 3-6",0.526
"{1,2}, {3,4}","3-4, 5-8",0.466
"{1,2}, {3,4}","2-9",0.552
"{1,2}, {3,4}","2-6",0.564
"{1,2}, {3,4}","1-2",0.338
"{1,2}, {3,4}","8-10",0.524
"{1,2}, {3,4}","2-6",0.508
"{1,2}, {3,4}","4-8",0.516
"{1,2}, {3,4}","2-9, 3-4",0.446
"{1,2}, {3,4}","1-2, 6-9",0.41
"{1,2}, {3,4}","1-2, 6-7",0.398
"{1,2}, {3,4}","1-2, 3-10",0.42
"{1,2}, {3,4}","2-8, 5-7",0.536
"{1,2}, {3,4}","3-4, 6-9",0.366
"{1,2}, {3,4}","1-2, 3-4",0.324
"{1,2}, {3,4}","3-10, 5-8",0.5
"{1,2}, {3,4}","1-2",0.334
"{1,2}, {3,4}","2-8, 3-7",0.476
"{1,2}, {3,4}","1-6",0.478
"{1,2}, {3,4}","1-8, 6-10",0.51
"{1,2}, {3,4}","3-9, 5-7",0.504
"{1,2}, {3,4}","1-7, 3-6",0.532
"{1,2}, {3,4}","7-9",0.524
"{1,2}, {3,4}","1-7, 6-8",0.468
"{1,2}, {3,4}","1-2",0.38
"{1,2}, {3,4}","1-2, 3-8",0.408
"{1,2}, {3,4}","3-4, 7-10",0.45
"{1,2}, {3,4}","2-3, 4-6, 5-7",0.518
"{1,2}, {3,4}","1-2, 5-8",0.338
"{1,2}, {3,4}","5-10",0.502
"{1,2}, {3,4}","3-7",0.502
"{1,2}, {3,4}","2-8, 4-9",0.474
"{1,2}, {3,4}","3-4",0.346
"{1,2}, {3,4}","3-4",0.306
"{1,2}, {3,4}","3-4, 6-10",0.376
"{1,2}, {3,4}","2-5, 6-8, 7-9",0.474
"{1,2}, {3,4}","1-2",0.426
"{1,2}, {3,4}","1-2",0.318
"{1,2}, {3,4}","2-8, 7-10",0.54
"{1,2}, {3,4}","1-10, 5-9",0.482
"{1,2}, {3,4}","2-5, 6-9",0.472
"{1,2}, {3,4}","1-2, 3-4",0.322
"{1,2}, {3,4}","3-6",0.494
"{1,2}, {3,4}","1-5, 6-10",0.5
"{1,2}, {3,4}","4-10, 6-8",0.506
"{1,2}, {3,4}","3-6, 9-10",0.494
"{1,2}, {3,4}","5-9, 6-10",0.508
"{1,2}, {3,4}","6-7",0.5
"{1,2}, {3,4}","6-8, 7-9",0.5
"{1,2}, {3,4}","3-9",0.46
"{1,2}, {3,4}","2-3, 4-5",0.488
"{1,2}, {3,4}","8-9",0.528
"{1,2}, {3,4}","3-4, 5-10",0.456
"{1,2}, {3,4}","1-2",0.372
"{1,2}, {3,4}","1-5",0.504
"{1,2}, {3,4}","3-10, 5-9",0.492
"{1,2}, {3,4}","4-9",0.53
"{1,2}, {3,4}","1-6, 2-8, 7-9",0.548
"{1,2}, {3,4}","2-5, 6-9",0.516
"{1,2}, {3,4}","4-7",0.474
"{1,2}, {3,4}","1-2, 3-6",0.438
"{1,2}, {3,4}","3-8, 5-7, 6-10",0.496
"{1,2}, {3,4}","3-4",0.366
"{1,2}, {3,4}","1-9",0.492
"{1,2}, {3,4}","1-2, 4-9",0.372
"{1,2}, {3,4}","1-2",0.308
"{1,2}, {3,4}","5-6",0.482
"{1,2}, {3,4}","6-8",0.506
"{1,2}, {3,4}","4-10, 5-6",0.48
"{1,2}, {3,4}","1-2, 3-4",0.316
"{1,2}, {3,4}","5-9, 7-8",0.504
"{1,2}, {3,4}","3-4",0.366
"{1,2}, {3,4}","1-2, 4-9, 5-6",0.444
"{1,2}, {3,4}","1-8, 3-4, 7-10",0.376
"{1,2}, {3,4}","2-5, 9-10",0.484
"{1,2}, {3,4}","1-2",0.364
"{1,2}, {3,4}","2-9, 5-8",0.52
"{1,2}, {3,4}","1-8, 3-4",0.408
"{1,2}, {3,4}","1-4, 2-3",0.486
"{1,2}, {3,4}","1-2",0.356
"{1,2}, {3,4}","1-2",0.362
"{1,2}, {3,4}","1-2, 3-4",0.266
"{1,2}, {3,4}","1-7, 2-10, 5-6",0.506
"{1,2}, {3,4}","1-2, 6-7",0.424
"{1,2}, {3,4}","1-3",0.504
"{1,2}, {3,4}","5-7",0.502
"{1,2}, {3,4}","3-4, 5-6",0.414
"{1,2}, {3,4}","1-8, 3-9",0.452
"{1,2}, {3,4}","3-4",0.382
