"listS","marg","EmarClass"
"1, 2, 3, 4","1, 2, 3, 4",0.106
"1, 2, 3, 4","1, 2, 3, 4, 5",0.146
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4, 8",0.132
"1, 2, 3, 4","2, 3",0.228
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3",0.17
"1, 2, 3, 4","1, 2, 3, 4",0.102
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.12
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4, 10",0.116
"1, 2, 3, 4","1, 2, 3, 4, 6",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.116
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.132
"1, 2, 3, 4","1, 2, 3, 4",0.116
"1, 2, 3, 4","1, 2, 3, 4",0.132
"1, 2, 3, 4","1, 2, 3, 4",0.146
"1, 2, 3, 4","1, 2, 3, 4, 6",0.14
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4, 6",0.142
"1, 2, 3, 4","1, 2, 3, 4, 10",0.122
"1, 2, 3, 4","1, 2, 3, 4",0.118
"1, 2, 3, 4","1, 2, 3, 4, 8",0.122
"1, 2, 3, 4","1, 2, 3, 4",0.148
"1, 2, 3, 4","1, 2, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4",0.112
"1, 2, 3, 4","1, 2, 3, 4",0.116
"1, 2, 3, 4","1",0.288
"1, 2, 3, 4","1, 2, 3",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.116
"1, 2, 3, 4","1, 2, 3, 4",0.13
"1, 2, 3, 4","1, 2, 3, 4",0.144
"1, 2, 3, 4","1, 2, 3, 4",0.116
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.104
"1, 2, 3, 4","1, 2, 3, 4",0.118
"1, 2, 3, 4","1, 2, 3, 4",0.146
"1, 2, 3, 4","1, 2, 3, 4, 5",0.154
"1, 2, 3, 4","1, 2, 4",0.186
"1, 2, 3, 4","1, 3, 4",0.136
"1, 2, 3, 4","1, 2, 3, 4, 7",0.12
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4, 10",0.138
"1, 2, 3, 4","1, 2, 3, 4",0.158
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.118
"1, 2, 3, 4","1, 2, 3, 4, 10",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.154
"1, 2, 3, 4","2, 3",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.124
"1, 2, 3, 4","1, 2, 3, 4, 7",0.138
"1, 2, 3, 4","1, 2, 3, 4",0.108
"1, 2, 3, 4","2, 4",0.236
"1, 2, 3, 4","1, 2, 3, 4",0.124
"1, 2, 3, 4","1, 2, 3, 4",0.13
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.098
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.12
"1, 2, 3, 4","1, 2, 3, 4",0.132
"1, 2, 3, 4","1, 2, 3, 4",0.12
"1, 2, 3, 4","1, 2, 3, 4, 6",0.144
"1, 2, 3, 4","1, 2, 3, 4",0.13
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 3",0.196
"1, 2, 3, 4","1, 2, 3, 4, 9",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.124
"1, 2, 3, 4","1",0.298
"1, 2, 3, 4","1, 2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.128
"1, 2, 3, 4","1, 2, 3, 4",0.126
"1, 2, 3, 4","1, 2, 3, 4",0.132
"1, 2, 3, 4","1, 2, 3, 4",0.118
"1, 2, 3, 4","1, 2, 3, 4, 9",0.108
"1, 2, 3, 4","1",0.294
"1, 2, 3, 4","1, 2, 3, 4, 8",0.168
"1, 2, 3, 4","1, 2, 3, 4",0.12
"1, 2, 3, 4","1, 2, 3, 4",0.114
"1, 2, 3, 4","1, 2, 3, 4, 7",0.118
"1, 2, 3, 4","1, 2, 4",0.18
"1, 2, 3, 4","1, 2, 3, 4, 9",0.16
"1, 2, 3, 4","1, 3, 4",0.202
"1, 2, 3, 4","1, 2, 3, 4",0.142
"1, 2, 3, 4","1, 2, 3, 4",0.114
"1, 2, 3, 4","1, 2, 3, 4, 9",0.152
"1, 2, 3, 4","1, 2, 3, 4, 5",0.136
"1, 2, 3, 4","1, 2, 3, 4, 8",0.148
"1, 2, 3, 4","1, 2, 4",0.168
"1, 2, 3, 4","1",0.282
"1, 2, 3, 4","1, 2, 3, 4",0.14
"1, 2, 3, 4","1, 2, 3, 4, 9",0.114
"1, 2, 3, 4","2, 3, 4",0.134
"1, 2, 3, 4","1, 2, 3, 4",0.154
"1, 2, 3, 4","1, 2, 3, 4",0.114
"1, 2, 3, 4","1, 2, 3, 4",0.114
"1, 2, 3, 4","1, 2, 3, 4",0.106
"1, 2, 3, 4","1, 2, 3, 4",0.142
