"listS","pair","EPairClass"
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.068
"{1,2}, {3,4}","1-2, 3-4",0.042
"{1,2}, {3,4}","1-2, 3-4",0.048
"{1,2}, {3,4}","1-2, 3-4",0.042
"{1,2}, {3,4}","1-2, 3-4",0.06
"{1,2}, {3,4}","1-2, 3-4",0.042
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.05
"{1,2}, {3,4}","1-2, 3-4",0.054
"{1,2}, {3,4}","1-2, 3-4",0.052
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.036
"{1,2}, {3,4}","1-2, 3-4",0.054
"{1,2}, {3,4}","1-2, 3-4",0.062
"{1,2}, {3,4}","1-2, 3-4",0.048
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.038
"{1,2}, {3,4}","1-2, 3-4",0.042
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.074
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.046
"{1,2}, {3,4}","1-2, 3-4",0.054
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.034
"{1,2}, {3,4}","1-2, 3-4",0.062
"{1,2}, {3,4}","1-2, 3-4",0.052
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.048
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.072
"{1,2}, {3,4}","1-2, 3-4",0.054
"{1,2}, {3,4}","1-2, 3-4",0.036
"{1,2}, {3,4}","1-2, 3-4",0.048
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.062
"{1,2}, {3,4}","1-2, 3-4",0.04
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.06
"{1,2}, {3,4}","1-2, 3-4",0.054
"{1,2}, {3,4}","1-2, 3-4",0.068
"{1,2}, {3,4}","1-2, 3-4",0.06
"{1,2}, {3,4}","1-2, 3-4",0.046
"{1,2}, {3,4}","1-2, 3-4",0.04
"{1,2}, {3,4}","1-2, 3-4",0.054
"{1,2}, {3,4}","1-2, 3-4",0.048
"{1,2}, {3,4}","1-2, 3-4",0.06
"{1,2}, {3,4}","1-2, 3-4",0.038
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.052
"{1,2}, {3,4}","1-2, 3-4",0.064
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.04
"{1,2}, {3,4}","1-2, 3-4",0.05
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.042
"{1,2}, {3,4}","1-2, 3-4",0.066
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.052
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.042
"{1,2}, {3,4}","1-2, 3-4",0.068
"{1,2}, {3,4}","1-2, 3-4",0.068
"{1,2}, {3,4}","1-2, 3-4",0.052
"{1,2}, {3,4}","1-2, 3-4",0.05
"{1,2}, {3,4}","1-2, 3-4",0.048
"{1,2}, {3,4}","1-2, 3-4",0.04
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.062
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.062
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.056
"{1,2}, {3,4}","1-2, 3-4",0.064
"{1,2}, {3,4}","1-2, 3-4",0.058
"{1,2}, {3,4}","1-2, 3-4",0.06
"{1,2}, {3,4}","1-2, 3-4",0.074
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.06
"{1,2}, {3,4}","1-2, 3-4",0.044
"{1,2}, {3,4}","1-2, 3-4",0.046
"{1,2}, {3,4}","1-2, 3-4",0.05
"{1,2}, {3,4}","1-2, 3-4",0.042
"{1,2}, {3,4}","1-2, 3-4",0.04
"{1,2}, {3,4}","1-2, 3-4",0.062
"{1,2}, {3,4}","1-2, 3-4",0.076
"{1,2}, {3,4}","1-2, 3-4",0.046
"{1,2}, {3,4}","1-2, 3-4",0.048
"{1,2}, {3,4}","1-2, 3-4",0.07
