"listS","marg","EmarClass"
"1, 2, 3, 4","1, 3",0.284
"1, 2, 3, 4","1, 2, 3, 4, 5",0.29
"1, 2, 3, 4","1, 2, 3, 4, 7",0.262
"1, 2, 3, 4","1, 2, 4, 8",0.296
"1, 2, 3, 4","2, 3",0.332
"1, 2, 3, 4","1, 2, 3, 4",0.266
"1, 2, 3, 4","1, 2, 3, 7, 8",0.288
"1, 2, 3, 4","1, 2, 3, 4, 7",0.248
"1, 2, 3, 4","1, 2",0.37
"1, 2, 3, 4","2, 3",0.316
"1, 2, 3, 4","3, 4",0.328
"1, 2, 3, 4","3, 4",0.302
"1, 2, 3, 4","1, 2, 10",0.35
"1, 2, 3, 4","1, 2, 3, 6",0.3
"1, 2, 3, 4","2, 3, 4",0.276
"1, 2, 3, 4","1, 2, 3, 4",0.248
"1, 2, 3, 4","3, 4, 10",0.334
"1, 2, 3, 4","1, 2, 3, 4, 9",0.234
"1, 2, 3, 4","1, 2, 3, 4",0.256
"1, 2, 3, 4","1, 2, 3, 4, 7",0.3
"1, 2, 3, 4","1, 2, 3, 4, 6",0.272
"1, 2, 3, 4","1, 2, 3, 4",0.29
"1, 2, 3, 4","1, 2, 3, 4, 6",0.236
"1, 2, 3, 4","1, 3, 4, 10",0.276
"1, 2, 3, 4","4",0.38
"1, 2, 3, 4","1, 2, 4, 8",0.29
"1, 2, 3, 4","1, 4",0.322
"1, 2, 3, 4","4",0.392
"1, 2, 3, 4","3",0.366
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","1",0.35
"1, 2, 3, 4","1, 2, 3, 7, 9",0.282
"1, 2, 3, 4","1, 3, 4",0.26
"1, 2, 3, 4","2, 3",0.328
"1, 2, 3, 4","1, 2, 3, 4",0.258
"1, 2, 3, 4","1, 2, 3, 4, 9",0.24
"1, 2, 3, 4","1, 2, 3, 4",0.244
"1, 2, 3, 4","2",0.382
"1, 2, 3, 4","2",0.372
"1, 2, 3, 4","1, 2, 4",0.28
"1, 2, 3, 4","1, 2, 3, 4, 5",0.252
"1, 2, 3, 4","1, 2, 4, 7, 8",0.318
"1, 2, 3, 4","4",0.318
"1, 2, 3, 4","1, 2, 3, 4, 7",0.226
"1, 2, 3, 4","2",0.342
"1, 2, 3, 4","1, 2, 3, 4, 10",0.26
"1, 2, 3, 4","2",0.404
"1, 2, 3, 4","1, 2, 3, 4, 7",0.272
"1, 2, 3, 4","2",0.386
"1, 2, 3, 4","1, 2, 3, 4, 10",0.268
"1, 2, 3, 4","1, 3, 4",0.304
"1, 2, 3, 4","2, 3, 7, 8",0.322
"1, 2, 3, 4","1, 2, 3, 4, 8",0.244
"1, 2, 3, 4","1, 2, 3, 4, 7",0.27
"1, 2, 3, 4","1, 2, 4",0.258
"1, 2, 3, 4","2, 4",0.324
"1, 2, 3, 4","2, 3, 4",0.278
"1, 2, 3, 4","1, 3, 4, 5, 8",0.27
"1, 2, 3, 4","2, 4",0.286
"1, 2, 3, 4","1, 2, 3, 4, 7",0.222
"1, 2, 3, 4","1",0.362
"1, 2, 3, 4","1, 3, 4, 5, 9",0.268
"1, 2, 3, 4","1",0.406
"1, 2, 3, 4","4",0.35
"1, 2, 3, 4","1, 2, 3, 4, 6",0.24
"1, 2, 3, 4","1, 2, 3, 9",0.296
"1, 2, 3, 4","1, 2, 3, 4",0.28
"1, 2, 3, 4","1, 3",0.302
"1, 2, 3, 4","1, 2, 3, 4, 9",0.242
"1, 2, 3, 4","3, 4",0.29
"1, 2, 3, 4","1",0.364
"1, 2, 3, 4","1, 4",0.316
"1, 2, 3, 4","1, 2, 3, 4, 9",0.242
"1, 2, 3, 4","4, 10",0.446
"1, 2, 3, 4","2, 4",0.302
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","9",0.516
"1, 2, 3, 4","1, 3, 9, 10",0.386
"1, 2, 3, 4","1, 2, 4, 8",0.354
"1, 2, 3, 4","1, 2, 4",0.28
"1, 2, 3, 4","1, 2, 3, 4, 8",0.252
"1, 2, 3, 4","7",0.522
"1, 2, 3, 4","4",0.404
"1, 2, 3, 4","1",0.358
"1, 2, 3, 4","1, 3, 4, 5, 6",0.336
"1, 2, 3, 4","1, 2, 3, 4",0.254
"1, 2, 3, 4","4",0.366
"1, 2, 3, 4","1, 4, 9",0.342
"1, 2, 3, 4","1, 2, 3, 4, 5",0.244
"1, 2, 3, 4","1, 2, 3, 4, 8",0.28
"1, 2, 3, 4","1, 2, 4",0.258
"1, 2, 3, 4","1",0.374
"1, 2, 3, 4","1, 2, 3, 4",0.282
"1, 2, 3, 4","9",0.51
"1, 2, 3, 4","3, 4, 10",0.29
"1, 2, 3, 4","1, 2, 3, 4, 10",0.284
"1, 2, 3, 4","1, 2, 3, 4, 7",0.25
"1, 2, 3, 4","2",0.352
"1, 2, 3, 4","1, 2, 3, 4",0.23
"1, 2, 3, 4","2, 3, 4",0.278
