"listS","marg","EmarClass"
"1, 2, 3, 4","1, 2, 3",0.114
"1, 2, 3, 4","1, 2, 3, 4",0.052
"1, 2, 3, 4","1, 2, 3, 4",0.078
"1, 2, 3, 4","1, 2, 3, 4",0.074
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.08
"1, 2, 3, 4","1, 2, 3, 4",0.068
"1, 2, 3, 4","1, 2, 3, 4, 6",0.066
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.068
"1, 2, 3, 4","1, 2, 3, 4",0.08
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.066
"1, 2, 3, 4","1, 2, 3, 4, 8",0.074
"1, 2, 3, 4","1, 2, 3, 4, 10",0.068
"1, 2, 3, 4","1, 2, 3, 4",0.082
"1, 2, 3, 4","1, 2, 3, 4",0.074
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.08
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4, 9",0.09
"1, 2, 3, 4","1, 2, 3, 4, 10",0.088
"1, 2, 3, 4","1, 2, 3, 4",0.086
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.076
"1, 2, 3, 4","1, 2, 3, 4",0.062
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4, 10",0.084
"1, 2, 3, 4","1, 2, 3, 4",0.064
"1, 2, 3, 4","1, 2, 3, 4",0.06
"1, 2, 3, 4","1, 2, 3, 4",0.052
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.062
"1, 2, 3, 4","1, 2, 3, 4",0.068
"1, 2, 3, 4","1, 2, 3, 4",0.074
"1, 2, 3, 4","1, 2, 3, 4",0.084
"1, 2, 3, 4","1, 2, 3, 4",0.064
"1, 2, 3, 4","2, 3",0.15
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.054
"1, 2, 3, 4","1, 2, 4",0.122
"1, 2, 3, 4","1, 2, 3, 4",0.082
"1, 2, 3, 4","1, 2, 3, 4",0.068
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4, 10",0.068
"1, 2, 3, 4","1, 2, 3, 4",0.064
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.088
"1, 2, 3, 4","1, 2, 3, 4",0.08
"1, 2, 3, 4","1, 2, 3, 4",0.078
"1, 2, 3, 4","1, 2, 3, 4",0.06
"1, 2, 3, 4","1, 2, 3, 4",0.076
"1, 2, 3, 4","1, 2, 3, 4",0.088
"1, 2, 3, 4","1, 2, 3, 4",0.082
"1, 2, 3, 4","1, 2, 3, 4",0.066
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4",0.082
"1, 2, 3, 4","1, 2, 3, 4",0.064
"1, 2, 3, 4","1, 2, 3, 4, 8",0.068
"1, 2, 3, 4","1, 2, 3, 4",0.084
"1, 2, 3, 4","1, 2, 3, 4",0.09
"1, 2, 3, 4","1, 2, 3, 4",0.06
"1, 2, 3, 4","1, 2, 3, 4",0.076
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.08
"1, 2, 3, 4","1, 2, 3, 4",0.082
"1, 2, 3, 4","1, 3, 4",0.112
"1, 2, 3, 4","1, 2, 3, 4",0.074
"1, 2, 3, 4","1, 2, 3, 4",0.08
"1, 2, 3, 4","1, 2, 3, 4",0.078
"1, 2, 3, 4","1, 2, 3, 4",0.062
"1, 2, 3, 4","1, 2, 3, 4",0.04
"1, 2, 3, 4","1, 2, 3, 4",0.092
"1, 2, 3, 4","1, 2, 3, 4",0.078
"1, 2, 3, 4","1, 2, 3, 4",0.054
"1, 2, 3, 4","1, 2, 3, 4",0.064
"1, 2, 3, 4","1, 2, 3, 4",0.094
"1, 2, 3, 4","1, 2, 3, 4",0.052
"1, 2, 3, 4","1, 2, 3, 4",0.078
"1, 2, 3, 4","1, 2, 3, 4",0.09
"1, 2, 3, 4","1, 2, 3, 4",0.078
"1, 2, 3, 4","1, 2, 3, 4",0.064
"1, 2, 3, 4","1, 2, 3, 4",0.066
"1, 2, 3, 4","1, 2, 3, 4, 5",0.048
"1, 2, 3, 4","1, 2, 3, 4",0.086
"1, 2, 3, 4","1, 2, 3, 4",0.074
"1, 2, 3, 4","1, 2, 3, 4",0.082
"1, 2, 3, 4","1, 2, 3, 4",0.066
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4, 9",0.06
"1, 2, 3, 4","1, 2, 3, 4",0.072
"1, 2, 3, 4","1, 2, 3, 4, 10",0.078
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.07
"1, 2, 3, 4","1, 2, 3, 4",0.09
