"listS","pair","EPairClass"
"{1,2}, {3,4}","1-2, 3-4",0.266
"{1,2}, {3,4}","1-2",0.304
"{1,2}, {3,4}","1-2, 3-4",0.202
"{1,2}, {3,4}","1-2",0.3
"{1,2}, {3,4}","1-2, 3-4",0.272
"{1,2}, {3,4}","1-2, 3-4",0.21
"{1,2}, {3,4}","3-4",0.352
"{1,2}, {3,4}","1-2, 3-4",0.244
"{1,2}, {3,4}","1-2, 3-4",0.222
"{1,2}, {3,4}","1-2, 3-4",0.278
"{1,2}, {3,4}","1-2",0.244
"{1,2}, {3,4}","3-4",0.272
"{1,2}, {3,4}","3-4",0.298
"{1,2}, {3,4}","1-2, 3-4",0.244
"{1,2}, {3,4}","1-2, 3-4",0.218
"{1,2}, {3,4}","1-6, 3-4",0.348
"{1,2}, {3,4}","1-2, 8-9",0.364
"{1,2}, {3,4}","1-2, 3-4",0.236
"{1,2}, {3,4}","1-2, 3-4",0.22
"{1,2}, {3,4}","1-2",0.326
"{1,2}, {3,4}","3-4",0.336
"{1,2}, {3,4}","1-2, 3-4",0.22
"{1,2}, {3,4}","1-2",0.324
"{1,2}, {3,4}","3-4",0.304
"{1,2}, {3,4}","3-4",0.33
"{1,2}, {3,4}","1-2, 3-4",0.244
"{1,2}, {3,4}","1-2, 3-4",0.238
"{1,2}, {3,4}","1-2, 3-4",0.206
"{1,2}, {3,4}","1-2, 3-4",0.262
"{1,2}, {3,4}","1-2, 3-4",0.248
"{1,2}, {3,4}","1-2, 3-4",0.224
"{1,2}, {3,4}","1-2, 3-4",0.22
"{1,2}, {3,4}","3-4",0.35
"{1,2}, {3,4}","1-2, 3-4",0.236
"{1,2}, {3,4}","1-2, 3-4",0.264
"{1,2}, {3,4}","1-2, 3-4",0.268
"{1,2}, {3,4}","1-2",0.312
"{1,2}, {3,4}","1-2",0.336
"{1,2}, {3,4}","3-4, 7-10",0.384
"{1,2}, {3,4}","1-2, 3-4",0.25
"{1,2}, {3,4}","1-2",0.316
"{1,2}, {3,4}","1-2",0.298
"{1,2}, {3,4}","1-2, 3-4",0.224
"{1,2}, {3,4}","3-4",0.316
"{1,2}, {3,4}","1-2, 3-4",0.222
"{1,2}, {3,4}","1-2, 3-4",0.214
"{1,2}, {3,4}","1-2, 3-4",0.254
"{1,2}, {3,4}","1-2, 3-4",0.212
"{1,2}, {3,4}","1-2, 3-4",0.282
"{1,2}, {3,4}","1-2, 3-4",0.222
"{1,2}, {3,4}","1-2, 3-4",0.236
"{1,2}, {3,4}","1-2, 3-4",0.208
"{1,2}, {3,4}","1-2, 3-4, 5-9",0.238
"{1,2}, {3,4}","3-4",0.338
"{1,2}, {3,4}","1-2, 3-4",0.246
"{1,2}, {3,4}","1-2",0.318
"{1,2}, {3,4}","1-2, 3-4",0.232
"{1,2}, {3,4}","1-2, 3-4",0.22
"{1,2}, {3,4}","1-2, 3-4",0.252
"{1,2}, {3,4}","1-2",0.296
"{1,2}, {3,4}","1-2",0.354
"{1,2}, {3,4}","1-2",0.32
"{1,2}, {3,4}","1-2, 3-4",0.22
"{1,2}, {3,4}","1-2, 3-4",0.284
"{1,2}, {3,4}","3-4",0.284
"{1,2}, {3,4}","1-2",0.314
"{1,2}, {3,4}","1-2, 3-4",0.252
"{1,2}, {3,4}","1-2, 3-4",0.244
"{1,2}, {3,4}","1-2, 3-4",0.254
"{1,2}, {3,4}","3-4",0.33
"{1,2}, {3,4}","1-2",0.32
"{1,2}, {3,4}","1-2, 3-4",0.256
"{1,2}, {3,4}","1-2, 3-4",0.236
"{1,2}, {3,4}","1-2, 3-4",0.206
"{1,2}, {3,4}","1-2, 3-4",0.254
"{1,2}, {3,4}","1-2, 3-4",0.188
"{1,2}, {3,4}","1-2, 3-4",0.252
"{1,2}, {3,4}","1-2, 3-4",0.228
"{1,2}, {3,4}","1-2, 3-4",0.244
"{1,2}, {3,4}","1-2, 3-4",0.242
"{1,2}, {3,4}","1-2, 3-4",0.192
"{1,2}, {3,4}","1-2, 3-4",0.244
"{1,2}, {3,4}","1-2",0.282
"{1,2}, {3,4}","1-2, 3-4",0.248
"{1,2}, {3,4}","1-2, 3-4",0.264
"{1,2}, {3,4}","1-2, 3-4",0.204
"{1,2}, {3,4}","1-2, 3-4",0.21
"{1,2}, {3,4}","1-2, 3-4",0.226
"{1,2}, {3,4}","1-2, 3-4",0.21
"{1,2}, {3,4}","1-2, 3-4",0.256
"{1,2}, {3,4}","1-2, 3-4",0.246
"{1,2}, {3,4}","1-2, 3-4",0.218
"{1,2}, {3,4}","1-2, 3-4",0.25
"{1,2}, {3,4}","3-4",0.306
"{1,2}, {3,4}","1-2, 3-4",0.24
"{1,2}, {3,4}","1-2",0.284
"{1,2}, {3,4}","3-4",0.304
"{1,2}, {3,4}","1-2",0.314
"{1,2}, {3,4}","1-2, 3-4",0.258
"{1,2}, {3,4}","3-4",0.314
