"listS","listShat","pair","marg"
"1, 2, 3, 4","{1,3}, 2","1-3, 2-9","1, 2, 3, 4, 8"
"1, 2, 3, 4","{1,3}","1-3","1, 2, 3, 4, 6"
"1, 2, 3, 4","{1,4}","1-4","2, 3, 4"
"1, 2, 3, 4","{3,4}","3-4","4"
"1, 2, 3, 4","{2,3}","2-3","3"
"1, 2, 3, 4","{1,3}, 2","1-3, 2-10","2"
"1, 2, 3, 4","{3,4}","3-4","2, 3, 7"
"1, 2, 3, 4","1, 4","1-7, 2-4","1, 4"
"1, 2, 3, 4","{1,2}, {3,4}","1-2, 3-4","1, 2, 4"
"1, 2, 3, 4","{3,4}","3-4","1, 2, 3, 4, 6"
"1, 2, 3, 4","{4,9}, 1","1-5, 4-9","1, 2, 3, 4, 9"
"1, 2, 3, 4","{1,2}","1-2","1, 2, 3, 7"
"1, 2, 3, 4","1, 4","1-3, 4-7","1, 2, 3, 4, 10"
"1, 2, 3, 4","{3,4}","3-4","1, 2, 3, 4, 5"
"1, 2, 3, 4","{1,3}, {2,4}","1-3, 2-4","1, 2, 3, 4, 10"
"1, 2, 3, 4","{1,2}, {3,4}","1-2, 3-4","4"
"1, 2, 3, 4","{1,4}, 2","1-4, 2-8","2, 3, 4, 8"
"1, 2, 3, 4","{1,3}, 4","1-3, 4-6","4"
"1, 2, 3, 4","{4,10}","4-10","4"
"1, 2, 3, 4","{2,3}","2-3","1, 3"
"1, 2, 3, 4","{1,4}, {2,3}","1-4, 2-3","3"
"1, 2, 3, 4","{1,2}, {3,4}","1-2, 3-4","1, 2, 4"
"1, 2, 3, 4","3","2-3","3, 4"
"1, 2, 3, 4","{2,3}","2-3","3, 4"
"1, 2, 3, 4","{2,3}, 1","1-6, 2-3","1, 2, 3, 4, 6"
"1, 2, 3, 4","{1,3}, {2,4}","1-3, 2-4","1, 2, 3, 4, 6"
"1, 2, 3, 4","{1,2}, 3","1-2, 3-6","2, 3"
"1, 2, 3, 4","{2,3}, 1","1-10, 2-3","1"
"1, 2, 3, 4","{1,4}","1-4","1, 3"
"1, 2, 3, 4","4, 9","3-4, 7-9","1, 2, 4, 9, 10"
"1, 2, 3, 4","{1,2}, 3","1-2, 3-4","2, 10"
"1, 2, 3, 4","{1,4}","1-4","1, 2, 3, 4, 10"
"1, 2, 3, 4","{3,9}, 4","3-9, 4-6","1, 3, 4, 9"
"1, 2, 3, 4","{1,2}","1-2","1, 2, 3, 4, 10"
"1, 2, 3, 4","{1,2}, 3","1-2, 3-8","3"
"1, 2, 3, 4","{3,4}","3-4","2, 4"
"1, 2, 3, 4","{2,3}, 4","2-3, 4-7","1, 2, 3, 4, 9"
"1, 2, 3, 4","{1,2}","1-2","1, 2, 4, 5"
"1, 2, 3, 4","{2,3}","2-3","1, 2, 4, 6, 8"
"1, 2, 3, 4","{2,4}","2-4","3"
"1, 2, 3, 4","{2,4}","2-4","2"
"1, 2, 3, 4","{1,4}","1-4","1, 2, 4, 5, 10"
"1, 2, 3, 4","{1,4}","1-4","1, 2, 3, 4"
"1, 2, 3, 4","{1,3}, {2,4}","1-3, 2-4","1, 2, 3, 4"
"1, 2, 3, 4","{1,2}","1-2","1, 2, 3, 4, 8"
"1, 2, 3, 4","{2,4}, 3","2-4, 3-9","1, 3"
"1, 2, 3, 4","{3,6}, 4","3-6, 4-7","7"
"1, 2, 3, 4","{2,4}, 1","1-8, 2-4","1, 2, 3, 4"
"1, 2, 3, 4","{1,3}, {4,7}","1-3, 4-7","7"
"1, 2, 3, 4","{1,4}","1-4","2, 3, 4, 8"
