"MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gexp","MixS_gexp","screen.time_MV_gexp","class.time_MV_gexp","ERR_MV_gexp","screen.time_RRS_gexp","class.time_RRS_gexp","ERR_RRS_gexp","screen.time_KG_gexp","class.time_KG_gexp","ERR_KG_gexp","captured#Blocks","modelsize_MarS_gexp","modelsize_MixS_gexp","modelsize_MV_gexp","modelsize_RRS_gexp","modelsize_KG_gexp","capSig_MarS_gexp","capSig_MixS_gexp","capSig_MV_gexp","capSig_RRS_gexp","capSig_KG_gexp","capNoise_MarS_gexp","capNoise_MixS_gexp","capNoise_MV_gexp","capNoise_RRS_gexp","capNoise_KG_gexp","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_gsqrt","MixS_gsqrt","screen.time_MV_gsqrt","class.time_MV_gsqrt","ERR_MV_gsqrt","screen.time_RRS_gsqrt","class.time_RRS_gsqrt","ERR_RRS_gsqrt","screen.time_KG_gsqrt","class.time_KG_gsqrt","ERR_KG_gsqrt","captured#Blocks","modelsize_MarS_gsqrt","modelsize_MixS_gsqrt","modelsize_MV_gsqrt","modelsize_RRS_gsqrt","modelsize_KG_gsqrt","capSig_MarS_gsqrt","capSig_MixS_gsqrt","capSig_MV_gsqrt","capSig_RRS_gsqrt","capSig_KG_gsqrt","capNoise_MarS_gsqrt","capNoise_MixS_gsqrt","capNoise_MV_gsqrt","capNoise_RRS_gsqrt","capNoise_KG_gsqrt","MarS screening time (sec)","MarS classification time (sec)","pairwise energy comp time (sec)","NBP matching time (sec)","time for decoupling of pairs (sec)","MixS classification time (sec)","MarS_glog","MixS_glog","screen.time_MV_glog","class.time_MV_glog","ERR_MV_glog","screen.time_RRS_glog","class.time_RRS_glog","ERR_RRS_glog","screen.time_KG_glog","class.time_KG_glog","ERR_KG_glog","captured#Blocks","modelsize_MarS_glog","modelsize_MixS_glog","modelsize_MV_glog","modelsize_RRS_glog","modelsize_KG_glog","capSig_MarS_glog","capSig_MixS_glog","capSig_MV_glog","capSig_RRS_glog","capSig_KG_glog","capNoise_MarS_glog","capNoise_MixS_glog","capNoise_MV_glog","capNoise_RRS_glog","capNoise_KG_glog","screen.time_MCSSVMLIN","class.time_MCSSVMLIN","ERR_MCSSVMLIN","screen.time_MCSSVMRBF","class.time_MCSSVMRBF","ERR_MCSSVMRBF","modelsize_MCSSVMLIN","modelsize_MCSSVMRBF","capSig_MCSSVMLIN","capSig_MCSSVMRBF","capNoise_MCSSVMLIN","capNoise_MCSSVMRBF"
0,0.0400000000081491,1.69000000000233,0,6.30999999999767,1.30999999999767,0.146,0.294,0.0099999999802094,0.0599999999976717,0.168,0.0199999999895226,0.0399999999790452,0.168,0,0.660000000003492,0.168,0,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0400000000081491,1.47000000000116,0,6.26999999998952,0.990000000019791,0.192,0.292,0.0199999999895226,0.0700000000069849,0.19,0,0.0599999999976717,0.19,0,0.339999999996508,0.19,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0,0.0500000000174623,1.47000000000116,0,6.39000000001397,1.28999999997905,0.126,0.29,0.0199999999895226,0.0700000000069849,0.142,0,0.0499999999883585,0.142,0,0.339999999996508,0.142,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0.169999999998254,0,0.456,0.169999999998254,0.0200000000186265,0.424,10,10,4,4,0,0
0,0.0499999999883585,1.47000000000116,0,6.24000000001979,1.61000000001513,0.152,0.302,0.0099999999802094,0.649999999994179,0.178,0,0.0599999999976717,0.178,0,0.339999999996508,0.178,0,4,2,10,10,10,4,2,4,4,4,6,8,0,0,0,0,0.0400000000081491,1.51999999998952,0,6.26999999998952,0.0700000000069849,0.252,0.368,0.0200000000186265,0.0500000000174623,0.248,0,0.350000000005821,0.248,0,0.0700000000069849,0.248,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0.0100000000093132,0.0700000000069849,1.67000000001281,0,6.35999999998603,1.30000000001746,0.148,0.272,0.0099999999802094,0.35999999998603,0.154,0.0199999999895226,0.339999999996508,0.154,0,0.339999999996508,0.154,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0.169999999998254,0,0.488,0.169999999998254,0,0.472,10,10,4,4,0,0
0,0.0599999999976717,1.47000000000116,0,6.26000000000931,0.989999999990687,0.164,0.284,0.0200000000186265,0.339999999996508,0.174,0,0.0599999999976717,0.174,0,0.0500000000174623,0.174,0,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0499999999883585,1.47000000000116,0,6.25,1.30000000001746,0.204,0.326,0,0.0499999999883585,0.218,0,0.360000000015134,0.218,0,0.339999999996508,0.218,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0399999999790452,1.47000000000116,0,6.42000000001281,1.60999999998603,0.148,0.286,0,0.360000000015134,0.156,0.0200000000186265,0.0700000000069849,0.156,0,0.350000000005821,0.156,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0.475000000005821,0,0.512,0.475000000005821,0.0099999999802094,0.436,10,10,4,4,0,0
0,0.0400000000081491,1.44999999998254,0,12.6600000000035,1.58999999999651,0.14,0.314,0.0100000000093132,0.0599999999976717,0.136,0,0.0400000000081491,0.136,0,0.35999999998603,0.136,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.0500000000174623,1.63999999998487,0,12.6700000000128,0.35999999998603,0.202,0.264,0.0200000000186265,0.0500000000174623,0.206,0,0.660000000003492,0.206,0,0.0499999999883585,0.206,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0700000000069849,1.47000000000116,0,12.570000000007,0.369999999995343,0.12,0.194,0,0.0700000000069849,0.128,0,0.380000000004657,0.128,0,0.350000000005821,0.128,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.0149999999994179,0.0200000000186265,0.508,0.0149999999994179,0.0100000000093132,0.462,10,10,4,4,0,0
0,0.0499999999883585,1.52999999999884,0,6.30000000001746,0.670000000012806,0.126,0.306,0.0099999999802094,0.0599999999976717,0.136,0,0.35999999998603,0.136,0,0.369999999995343,0.136,0,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0599999999976717,1.5,0,6.26000000000931,0.989999999990687,0.186,0.28,0,0.339999999996508,0.188,0,0.35999999998603,0.188,0,0.0700000000069849,0.188,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0,0.0599999999976717,1.63000000000466,0.0099999999802094,6.44000000000233,1.60999999998603,0.128,0.256,0.0099999999802094,0.0899999999965075,0.13,0,0.649999999994179,0.13,0,0.0599999999976717,0.13,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0.319999999992433,0.0100000000093132,0.482,0.319999999992433,0.0200000000186265,0.396,10,10,4,4,0,0
0,0.0499999999883585,1.52000000001863,0,6.63999999998487,0.670000000012806,0.15,0.326,0.0099999999802094,0.0700000000069849,0.17,0,0.0599999999976717,0.17,0,0.649999999994179,0.17,0,4,2,10,10,10,4,1,4,4,4,6,6,0,0,0,0,0.0400000000081491,1.47000000000116,0,6.29999999998836,0.669999999983702,0.21,0.302,0.0100000000093132,0.339999999996508,0.208,0,0.339999999996508,0.208,0,0.339999999996508,0.208,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0599999999976717,1.45000000001164,0,6.4199999999837,0.990000000019791,0.152,0.266,0.0199999999895226,0.0700000000069849,0.154,0,0.0499999999883585,0.154,0,0.0599999999976717,0.154,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0.17500000000291,0,0.484,0.17500000000291,0,0.43,10,10,4,4,0,0
0,0.0700000000069849,1.47999999998137,0,12.5500000000175,1.30999999999767,0.156,0.274,0.0199999999895226,0.660000000003492,0.172,0,0.0699999999778811,0.172,0,0.0500000000174623,0.172,0,4,4,10,10,10,4,3,4,4,4,6,5,0,0,0,0,0.0499999999883585,1.61000000001513,0,12.6600000000035,0.670000000012806,0.208,0.294,0,0.0499999999883585,0.218,0,0.660000000003492,0.218,0,0.0599999999976717,0.218,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0700000000069849,1.47000000000116,0,12.6499999999942,0.39000000001397,0.142,0.248,0.0200000000186265,0.660000000003492,0.144,0,0.0700000000069849,0.144,0.0100000000093132,0.0500000000174623,0.144,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.319999999992433,0,0.422,0.319999999992433,0,0.404,10,10,4,4,0,0
0.0100000000093132,0.0599999999976717,1.57000000000698,0,6.26999999998952,0.979999999981374,0.162,0.308,0,0.360000000015134,0.174,0,0.660000000003492,0.174,0,0.360000000015134,0.174,0,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0,0.0499999999883585,1.47000000000116,0,6.26000000000931,1.27999999999884,0.186,0.338,0,0.350000000005821,0.192,0,0.0599999999976717,0.192,0.0099999999802094,0.0400000000081491,0.192,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0.0199999999895226,0.0599999999976717,1.47000000000116,0.0199999999895226,6.35999999998603,0.670000000012806,0.116,0.268,0.0199999999895226,0.0599999999976717,0.12,0,0.360000000015134,0.12,0,0.0599999999976717,0.12,1,4,1,10,10,10,4,1,4,4,4,6,7,0,0,0,0.474999999991269,0.0199999999895226,0.544,0.474999999991269,0.0099999999802094,0.456,10,10,4,4,0,0
0,0.0500000000174623,1.60999999998603,0,12.5299999999988,1.30999999999767,0.156,0.304,0,0.350000000005821,0.148,0,0.669999999983702,0.148,0,0.0599999999976717,0.148,0,4,4,10,10,10,4,2,4,4,4,6,5,0,0,0,0,0.0599999999976717,1.55000000001746,0,12.6499999999942,1.91000000000349,0.19,0.246,0,0.350000000005821,0.184,0,0.350000000005821,0.184,0,0.0599999999976717,0.184,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.0100000000093132,0.0599999999976717,1.47000000000116,0,12.5200000000186,1.01999999998952,0.13,0.194,0.0199999999895226,0.350000000005821,0.13,0,0.350000000005821,0.13,0,0.360000000015134,0.13,2,4,2,10,10,10,4,2,4,4,4,6,7,0,0,0,0.169999999998254,0,0.536,0.169999999998254,0,0.432,10,10,4,4,0,0
0,0.0499999999883585,1.49000000001979,0,6.30999999999767,1.60999999998603,0.152,0.358,0.0200000000186265,0.660000000003492,0.176,0,0.360000000015134,0.176,0,0.660000000003492,0.176,0,4,2,10,10,10,4,1,4,4,4,6,7,0,0,0,0,0.0700000000069849,1.61999999999534,0,6.25,0.669999999983702,0.17,0.31,0.0100000000093132,0.360000000015134,0.178,0,0.350000000005821,0.178,0,0.0599999999976717,0.178,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0,0.0599999999976717,1.45000000001164,0,6.38999999998487,0.690000000002328,0.142,0.274,0,0.339999999996508,0.148,0,0.0599999999976717,0.148,0,0.339999999996508,0.148,1,4,1,10,10,10,4,1,4,4,4,6,8,0,0,0,0.32499999999709,0,0.462,0.32499999999709,0,0.418,10,10,4,4,0,0
