"listS","listShat","pair","marg"
"1, 2, 3, 4","1, 4","1-7, 4-8","1, 2, 3, 4"
"1, 2, 3, 4","3","3-10","1, 2, 3, 4, 9"
"1, 2, 3, 4","2, 3","2-7, 3-10","1, 2, 3, 4"
"1, 2, 3, 4","3, 4","3-5, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-5, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","4","4-9","1, 2, 3, 4"
"1, 2, 3, 4","2","2-9","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-7, 4-9","1, 2, 3, 4"
"1, 2, 3, 4","1, 2","1-7, 2-5","1, 2, 3, 4"
"1, 2, 3, 4","2, 4","2-6, 4-7","1, 2, 3, 4"
"1, 2, 3, 4","2, 4","2-5, 4-7","1, 2, 3, 4"
"1, 2, 3, 4","2","2-9","1, 2, 3, 4, 8"
"1, 2, 3, 4","2, 4","2-9, 4-6","1, 2, 3, 4"
"1, 2, 3, 4","2, 4","2-5, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","1, 3","1-7, 3-5","1, 2, 3, 4, 10"
"1, 2, 3, 4","1, 4","1-6, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-7, 4-6","1, 2, 3, 4"
"1, 2, 3, 4","1, 3","1-7, 3-9","1, 2, 3, 4"
"1, 2, 3, 4","1, 4","1-5, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","1, 3","1-9, 3-6","1, 2, 3, 4"
"1, 2, 3, 4","2, 3","2-7, 3-6","1, 2, 3, 4"
"1, 2, 3, 4","2","2-8","1, 2, 3, 4"
"1, 2, 3, 4","1","1-7","1, 2, 3, 4"
"1, 2, 3, 4","1","1-8","1, 2, 3, 4"
"1, 2, 3, 4","2","2-5","1, 2, 3, 4"
"1, 2, 3, 4","3","3-6","1, 2, 3, 4"
"1, 2, 3, 4","2, 4","2-6, 4-10","1, 2, 3, 4"
"1, 2, 3, 4","2","2-6","1, 2, 3, 4"
"1, 2, 3, 4","3","3-6","1, 2, 3, 4"
"1, 2, 3, 4","2, 3","2-5, 3-6","1, 2, 3, 4"
"1, 2, 3, 4","1","1-5","1, 2, 3, 4"
"1, 2, 3, 4","1","1-5","1, 2, 3, 4"
"1, 2, 3, 4","1","1-9","1, 2, 3, 4"
"1, 2, 3, 4","2","2-8","1, 2, 3, 4"
