"listS","marg","EmarClass"
"1, 2, 3, 4","3",0.384
"1, 2, 3, 4","1, 2, 3, 4, 8",0.274
"1, 2, 3, 4","1, 2, 3, 4, 9",0.196
"1, 2, 3, 4","1, 2, 4, 10",0.302
"1, 2, 3, 4","2, 3, 4",0.252
"1, 2, 3, 4","1, 2, 3, 4, 8",0.246
"1, 2, 3, 4","1, 2, 4",0.286
"1, 2, 3, 4","1, 2, 3, 4, 7",0.238
"1, 2, 3, 4","2, 3, 4",0.23
"1, 2, 3, 4","1, 3",0.322
"1, 2, 3, 4","1",0.422
"1, 2, 3, 4","3, 4",0.318
"1, 2, 3, 4","1, 2",0.326
"1, 2, 3, 4","2",0.402
"1, 2, 3, 4","2",0.336
"1, 2, 3, 4","1, 2, 3, 4, 6",0.232
"1, 2, 3, 4","2",0.378
"1, 2, 3, 4","1, 2, 4",0.296
"1, 2, 3, 4","1, 2, 3, 4, 8",0.27
"1, 2, 3, 4","1, 2, 3, 4, 7",0.238
"1, 2, 3, 4","1, 2, 4, 8",0.29
"1, 2, 3, 4","3, 4",0.318
"1, 2, 3, 4","3, 4",0.308
"1, 2, 3, 4","1, 2, 3, 4, 7",0.232
"1, 2, 3, 4","2",0.372
"1, 2, 3, 4","2, 4, 10",0.338
"1, 2, 3, 4","1",0.386
"1, 2, 3, 4","1, 3, 4",0.308
"1, 2, 3, 4","1, 2, 3, 4",0.26
"1, 2, 3, 4","1, 2, 3, 4",0.274
"1, 2, 3, 4","2, 3, 7",0.33
"1, 2, 3, 4","3",0.326
"1, 2, 3, 4","2, 3, 4",0.26
"1, 2, 3, 4","1, 2, 3, 4, 6",0.252
"1, 2, 3, 4","1, 2, 4, 7, 8",0.258
"1, 2, 3, 4","1",0.446
"1, 2, 3, 4","1, 2, 4, 10",0.262
"1, 2, 3, 4","1, 2, 3, 4, 10",0.264
"1, 2, 3, 4","1, 2, 3, 4, 9",0.244
"1, 2, 3, 4","3, 4, 9",0.346
"1, 2, 3, 4","2",0.338
"1, 2, 3, 4","1, 2, 3, 4, 9",0.25
"1, 2, 3, 4","4",0.384
"1, 2, 3, 4","1, 2, 4, 8",0.32
"1, 2, 3, 4","1, 2",0.32
"1, 2, 3, 4","1, 2, 3, 4, 7",0.272
"1, 2, 3, 4","1, 2, 3, 4",0.24
"1, 2, 3, 4","2",0.348
"1, 2, 3, 4","1",0.402
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","3",0.38
"1, 2, 3, 4","1",0.38
"1, 2, 3, 4","2, 3, 4",0.29
"1, 2, 3, 4","1",0.366
"1, 2, 3, 4","2, 3, 4",0.258
"1, 2, 3, 4","3",0.354
"1, 2, 3, 4","10",0.524
"1, 2, 3, 4","1, 2, 3, 4",0.256
"1, 2, 3, 4","1, 2, 3, 4, 8",0.25
"1, 2, 3, 4","1, 2, 3, 4, 8",0.284
"1, 2, 3, 4","2, 3, 4, 9, 10",0.28
"1, 2, 3, 4","2, 3, 4, 6",0.264
"1, 2, 3, 4","1, 2, 3, 6",0.29
"1, 2, 3, 4","1, 2, 4, 6",0.276
"1, 2, 3, 4","1, 4",0.342
"1, 2, 3, 4","1, 3, 4, 8",0.272
"1, 2, 3, 4","1, 2, 7",0.334
"1, 2, 3, 4","1",0.392
"1, 2, 3, 4","1, 2, 3, 4, 6",0.238
"1, 2, 3, 4","3, 4, 5",0.34
"1, 2, 3, 4","1, 2, 3, 4",0.218
"1, 2, 3, 4","2",0.418
"1, 2, 3, 4","1",0.362
"1, 2, 3, 4","4",0.408
"1, 2, 3, 4","1, 2, 3, 4",0.238
"1, 2, 3, 4","1, 2, 3, 4",0.264
"1, 2, 3, 4","1, 2, 3, 4",0.242
"1, 2, 3, 4","1, 2, 3, 4",0.27
"1, 2, 3, 4","3, 4",0.37
"1, 2, 3, 4","1, 3, 4, 9",0.276
"1, 2, 3, 4","1",0.388
"1, 2, 3, 4","2, 4",0.322
"1, 2, 3, 4","1, 2, 3, 4, 10",0.244
"1, 2, 3, 4","1, 2, 7, 10",0.32
"1, 2, 3, 4","2, 3, 9",0.306
"1, 2, 3, 4","1, 2, 3, 4",0.254
"1, 2, 3, 4","3",0.396
"1, 2, 3, 4","1, 3",0.332
"1, 2, 3, 4","1, 2, 3, 4, 6",0.272
"1, 2, 3, 4","2, 3",0.318
"1, 2, 3, 4","2, 3, 4, 6, 9",0.318
"1, 2, 3, 4","3",0.374
"1, 2, 3, 4","2",0.386
"1, 2, 3, 4","2",0.394
"1, 2, 3, 4","1, 3",0.338
"1, 2, 3, 4","2, 3, 4",0.272
"1, 2, 3, 4","3, 4",0.318
"1, 2, 3, 4","1, 2, 3, 4, 10",0.26
"1, 2, 3, 4","2",0.356
"1, 2, 3, 4","3",0.384
